Table 1
Id,Name,image_url,description,info_url,,
1,Rainbow Trout,https://cpw.state.co.us/PublishingImages/Fishing/SpeciesID/RainbowTrout_JosephTomerelli.jpg,"Rainbows can be found in most mountain lakes and streams, as well as many plains reservoirs. Physical characteristics that can help distinguish rainbow trout include dark spots on a light body, continuous spotting throughout the body, and often a \“rainbow\” horizontal reddish stripe. Rainbow trout may be caught with a variety of flies, baits, and lures.",https://en.wikipedia.org/wiki/Rainbow_trout,,
2,Cutthroat (Native) Trout,https://cpw.state.co.us/PublishingImages/Fishing/SpeciesID/CutThroatTrout_JosephTomerelli.jpg,Cutthroat trout can be distinguished from rainbows by heavier spotting toward the tail and the presence of a red slash on their \“throat.\” Anglers may find these trout in high lakes and streams.,https://en.wikipedia.org/wiki/Cutthroat_trout,,
3,Brown Trout,https://cpw.state.co.us/PublishingImages/Fishing/SpeciesID/BrownTrout_JosephTomerelli.jpg,"These fish can be difficult to catch, but many anglers have good success during their fall spawning runs. A large dark spotting pattern and reddish dots can help anglers distinguish these fish from rainbows and cutthroats.",https://en.wikipedia.org/wiki/Brown_trout,,
4,Brook Trout,https://cpw.state.co.us/PublishingImages/Fishing/SpeciesID/BrookTrout_JosephTomerelli.jpg,"Brook trout have white spots (worm-shaped on top) on a dark background with tri-colored outlined fins (orange, black and white).They are typically found in higher elevation lakes, beaver dams and streams.",https://en.wikipedia.org/wiki/Brook_trout,,
5,Lake Trout,https://cpw.state.co.us/PublishingImages/Fishing/SpeciesID/LakeTrout_JosephTomerelli.jpg,"Also known as Mackinaw. They have white spots on a dark background with a deep fork in their tail. As the name suggests, these fish are found in mountain lakes and are usually in deeper water. Anglers also enjoy success with this species during the fall and spring in shallower areas and when ice-fishing.",https://en.wikipedia.org/wiki/Lake_trout,,
6,Kokanee Salmon,https://cpw.state.co.us/PublishingImages/Fishing/SpeciesID/Kokanee_JosephTomerelli.jpg,"These silver fish with black spots on the upper half of their bodies can be found  swimming in compact schools feeding on zooplankton, a food source unaffected by the drawing down of reservoirs. They turn reddish in color and males develop a \“hook jaw\” during the fall spawning season. Trolling with cowbells at medium depths provides angling success.",https://en.wikipedia.org/wiki/Kokanee_salmon,,
7,Mountain Whitefish,https://cpw.state.co.us/PublishingImages/Fishing/SpeciesID/mountainWhiteFish_JosephTomerelli.jpg,These fish have larger scales than trout and still possess an adipose fin (small flap of skin on their back toward the tail). A weak mouth means delicate hooking and handling is required to land this fish.,https://en.wikipedia.org/wiki/Mountain_whitefish,,
8,Splake,https://cpw.state.co.us/PublishingImages/Fishing/SpeciesID/Splake_JosephTomerelli.jpg,"Splake have tri-colored pelvic fins like brook trout and their tails are slightly forked. Splake are found in high mountains lakes and have been used since the 1980s to thin out stunted brook trout populations. Anglers relish their large sizes (up to 18 pounds) and find success with flies, lures and bait during the summer.",https://en.wikipedia.org/wiki/Splake,,
9,Grayling,https://cpw.state.co.us/PublishingImages/Fishing/SpeciesID/Grayling_JosephTomerelli.jpg,"A large sail-like dorsal fin extending over their silver bodies make them easy to identify. Grayling have extremely small mouths and can usually only be caught on small flies or lures. Even though grayling are relatively small in stature (usually less then 12 inches), they can be a nice challenge to anglers",https://en.wikipedia.org/wiki/Arctic_grayling,,
10,Wiper,https://cpw.state.co.us/PublishingImages/Fishing/SpeciesID/Wiper_JosephTomerelli.jpg,Wiper have become a very popular sportfish because of their hard fighting. Wiper are a schooling fish that can be found \“busting\” prey fish on the surface during the summer. Casting shad imitations or various lures at the \“busting\” prey and holding on tight is a fun method for catching wiper. Trolling can also be effective.,https://en.wikipedia.org/wiki/Hybrid_striped_bass,,
